id;nom;num_ident;date_naissance;ancienne_equipe
1;membre de l’équipe exiger plus;29306;2023-11-08T18:48:31;gestionnaire snif
2;paraître immense partenaire;1362;2023-11-08T20:44:16;afin que plouf zzzz
3;impressionner bzzz;30549;2023-11-08T15:51:33;oups très aux environs de
4;tâter hier parce que;7513;2023-11-08T14:14:12;en
5;personnel;25751;2023-11-09T04:59:45;en dehors de
6;tant après que recta;28155;2023-11-09T04:14:11;candide
7;coac coac parlementaire à partir de;5502;2023-11-08T11:27:01;parce que
8;quoique déceler vouh;30434;2023-11-09T08:43:05;cuicui responsable parvenir
9;là-haut doter membre à vie;3833;2023-11-08T18:08:05;psitt groin groin
10;quand en face de à même;12516;2023-11-08T21:12:00;jeune sans doute
