id;nom;poste;numero_maillot;telephone;date_naissance;prix_transfer
1;étant donné que;brusque photographier en guise de;2650;+33 562638652;2023-11-08T21:17:27;7444.98
2;répondre hors de;actionnaire clac aimable;17237;0202829118;2023-11-08T14:35:43;11202.12
3;étant donné que;loufoque;14880;+33 559325704;2023-11-09T05:54:15;17075.8
4;gémir tâter;multiple fabriquer;28068;+33 775586931;2023-11-09T04:20:32;891.3
5;puisque joliment soustraire;si bien que tandis que quant à;22719;0317678551;2023-11-08T18:14:33;6412.07
6;dès que;meuh;18543;+33 647490554;2023-11-09T06:49:25;28753.78
7;vu que;camarade splendide;2432;0324213730;2023-11-09T10:44:46;24244.04
8;conseil municipal;poser au cas où;7223;0448483873;2023-11-09T08:32:16;9480.17
9;membre du personnel bien que;juriste énergique;3034;+33 642946695;2023-11-09T00:55:22;25333.46
10;méconnaître désagréable;au moyen de du moment que présenter;21721;0295893876;2023-11-09T01:43:50;394.84
